2018-05-11 08:20:14 status half-configured libc-bin:amd64 2.19-18+deb8u10
2018-05-11 08:20:14 status installed libc-bin:amd64 2.19-18+deb8u10
2018-05-11 08:20:14 trigproc systemd:amd64 215-17+deb8u7 <none>
2018-05-11 08:20:14 status half-configured systemd:amd64 215-17+deb8u7
2018-05-11 08:20:14 status installed systemd:amd64 215-17+deb8u7
2018-05-11 08:20:15 startup packages configure
2018-05-11 08:42:02 startup archives unpack
2018-05-11 08:42:02 install libdbi-perl:amd64 <none> 1.631-3+b1
2018-05-11 08:42:02 status half-installed libdbi-perl:amd64 1.631-3+b1
2018-05-11 08:42:02 status unpacked libdbi-perl:amd64 1.631-3+b1
2018-05-11 08:42:02 status unpacked libdbi-perl:amd64 1.631-3+b1
2018-05-11 08:42:02 install libdbd-mysql-perl:amd64 <none> 4.028-2+deb8u2
2018-05-11 08:42:02 status half-installed libdbd-mysql-perl:amd64 4.028-2+deb8u2
2018-05-11 08:42:02 status unpacked libdbd-mysql-perl:amd64 4.028-2+deb8u2
2018-05-11 08:42:02 status unpacked libdbd-mysql-perl:amd64 4.028-2+deb8u2
2018-05-11 08:42:02 install libterm-readkey-perl:amd64 <none> 2.32-1+b1
2018-05-11 08:42:02 status half-installed libterm-readkey-perl:amd64 2.32-1+b1
2018-05-11 08:42:02 status unpacked libterm-readkey-perl:amd64 2.32-1+b1
2018-05-11 08:42:02 status unpacked libterm-readkey-perl:amd64 2.32-1+b1
2018-05-11 08:42:02 install mysql-client-5.5:amd64 <none> 5.5.60-0+deb8u1
2018-05-11 08:42:02 status half-installed mysql-client-5.5:amd64 5.5.60-0+deb8u1
2018-05-11 08:42:03 status unpacked mysql-client-5.5:amd64 5.5.60-0+deb8u1
2018-05-11 08:42:03 status unpacked mysql-client-5.5:amd64 5.5.60-0+deb8u1
2018-05-11 08:42:03 install mysql-client:all <none> 5.5.60-0+deb8u1
2018-05-11 08:42:03 status half-installed mysql-client:all 5.5.60-0+deb8u1
2018-05-11 08:42:03 status unpacked mysql-client:all 5.5.60-0+deb8u1
2018-05-11 08:42:03 status unpacked mysql-client:all 5.5.60-0+deb8u1
2018-05-11 08:42:04 startup packages configure
2018-05-11 08:42:04 configure libdbi-perl:amd64 1.631-3+b1 <none>
2018-05-11 08:42:04 status unpacked libdbi-perl:amd64 1.631-3+b1
2018-05-11 08:42:04 status half-configured libdbi-perl:amd64 1.631-3+b1
2018-05-11 08:42:04 status installed libdbi-perl:amd64 1.631-3+b1
2018-05-11 08:42:04 configure libdbd-mysql-perl:amd64 4.028-2+deb8u2 <none>
2018-05-11 08:42:04 status unpacked libdbd-mysql-perl:amd64 4.028-2+deb8u2
2018-05-11 08:42:04 status half-configured libdbd-mysql-perl:amd64 4.028-2+deb8u2
2018-05-11 08:42:04 status installed libdbd-mysql-perl:amd64 4.028-2+deb8u2
2018-05-11 08:42:04 configure libterm-readkey-perl:amd64 2.32-1+b1 <none>
2018-05-11 08:42:04 status unpacked libterm-readkey-perl:amd64 2.32-1+b1
2018-05-11 08:42:04 status half-configured libterm-readkey-perl:amd64 2.32-1+b1
2018-05-11 08:42:04 status installed libterm-readkey-perl:amd64 2.32-1+b1
2018-05-11 08:42:04 configure mysql-client-5.5:amd64 5.5.60-0+deb8u1 <none>
2018-05-11 08:42:04 status unpacked mysql-client-5.5:amd64 5.5.60-0+deb8u1
2018-05-11 08:42:04 status half-configured mysql-client-5.5:amd64 5.5.60-0+deb8u1
2018-05-11 08:42:04 status installed mysql-client-5.5:amd64 5.5.60-0+deb8u1
2018-05-11 08:42:04 configure mysql-client:all 5.5.60-0+deb8u1 <none>
2018-05-11 08:42:04 status unpacked mysql-client:all 5.5.60-0+deb8u1
2018-05-11 08:42:04 status half-configured mysql-client:all 5.5.60-0+deb8u1
2018-05-11 08:42:04 status installed mysql-client:all 5.5.60-0+deb8u1
2018-05-11 08:42:04 startup packages configure
2018-05-11 10:18:40 startup archives unpack
2018-05-11 10:18:40 install libpipeline1:amd64 <none> 1.4.0-1
2018-05-11 10:18:40 status half-installed libpipeline1:amd64 1.4.0-1
2018-05-11 10:18:40 status unpacked libpipeline1:amd64 1.4.0-1
2018-05-11 10:18:40 status unpacked libpipeline1:amd64 1.4.0-1
2018-05-11 10:18:40 install groff-base:amd64 <none> 1.22.2-8
2018-05-11 10:18:40 status half-installed groff-base:amd64 1.22.2-8
2018-05-11 10:18:40 status unpacked groff-base:amd64 1.22.2-8
2018-05-11 10:18:40 status unpacked groff-base:amd64 1.22.2-8
2018-05-11 10:18:40 install bsdmainutils:amd64 <none> 9.0.6
2018-05-11 10:18:40 status half-installed bsdmainutils:amd64 9.0.6
2018-05-11 10:18:40 status unpacked bsdmainutils:amd64 9.0.6
2018-05-11 10:18:40 status unpacked bsdmainutils:amd64 9.0.6
2018-05-11 10:18:40 install man-db:amd64 <none> 2.7.0.2-5
2018-05-11 10:18:40 status half-installed man-db:amd64 2.7.0.2-5
2018-05-11 10:18:41 status unpacked man-db:amd64 2.7.0.2-5
2018-05-11 10:18:41 status unpacked man-db:amd64 2.7.0.2-5
2018-05-11 10:18:41 install libasprintf0c2:amd64 <none> 0.19.3-2
2018-05-11 10:18:41 status half-installed libasprintf0c2:amd64 0.19.3-2
2018-05-11 10:18:41 status unpacked libasprintf0c2:amd64 0.19.3-2
2018-05-11 10:18:41 status unpacked libasprintf0c2:amd64 0.19.3-2
2018-05-11 10:18:41 install libapr1:amd64 <none> 1.5.1-3
2018-05-11 10:18:41 status half-installed libapr1:amd64 1.5.1-3
2018-05-11 10:18:41 status unpacked libapr1:amd64 1.5.1-3
2018-05-11 10:18:41 status unpacked libapr1:amd64 1.5.1-3
2018-05-11 10:18:41 install libexpat1:amd64 <none> 2.1.0-6+deb8u4
2018-05-11 10:18:41 status half-installed libexpat1:amd64 2.1.0-6+deb8u4
2018-05-11 10:18:41 status unpacked libexpat1:amd64 2.1.0-6+deb8u4
2018-05-11 10:18:41 status unpacked libexpat1:amd64 2.1.0-6+deb8u4
2018-05-11 10:18:41 install libaprutil1:amd64 <none> 1.5.4-1
2018-05-11 10:18:41 status half-installed libaprutil1:amd64 1.5.4-1
2018-05-11 10:18:41 status unpacked libaprutil1:amd64 1.5.4-1
2018-05-11 10:18:41 status unpacked libaprutil1:amd64 1.5.4-1
2018-05-11 10:18:41 install libcroco3:amd64 <none> 0.6.8-3+b1
2018-05-11 10:18:41 status half-installed libcroco3:amd64 0.6.8-3+b1
2018-05-11 10:18:41 status unpacked libcroco3:amd64 0.6.8-3+b1
2018-05-11 10:18:41 status unpacked libcroco3:amd64 0.6.8-3+b1
2018-05-11 10:18:41 install libsctp1:amd64 <none> 1.0.16+dfsg-2
2018-05-11 10:18:41 status half-installed libsctp1:amd64 1.0.16+dfsg-2
2018-05-11 10:18:41 status unpacked libsctp1:amd64 1.0.16+dfsg-2
2018-05-11 10:18:41 status unpacked libsctp1:amd64 1.0.16+dfsg-2
2018-05-11 10:18:41 install libunistring0:amd64 <none> 0.9.3-5.2+b1
2018-05-11 10:18:41 status half-installed libunistring0:amd64 0.9.3-5.2+b1
2018-05-11 10:18:41 status unpacked libunistring0:amd64 0.9.3-5.2+b1
2018-05-11 10:18:41 status unpacked libunistring0:amd64 0.9.3-5.2+b1
2018-05-11 10:18:41 install bzip2:amd64 <none> 1.0.6-7+b3
2018-05-11 10:18:41 status half-installed bzip2:amd64 1.0.6-7+b3
2018-05-11 10:18:41 status unpacked bzip2:amd64 1.0.6-7+b3
2018-05-11 10:18:41 status unpacked bzip2:amd64 1.0.6-7+b3
2018-05-11 10:18:41 install gettext-base:amd64 <none> 0.19.3-2
2018-05-11 10:18:41 status half-installed gettext-base:amd64 0.19.3-2
2018-05-11 10:18:41 status unpacked gettext-base:amd64 0.19.3-2
2018-05-11 10:18:41 status unpacked gettext-base:amd64 0.19.3-2
2018-05-11 10:18:41 install patch:amd64 <none> 2.7.5-1
2018-05-11 10:18:41 status half-installed patch:amd64 2.7.5-1
2018-05-11 10:18:41 status unpacked patch:amd64 2.7.5-1
2018-05-11 10:18:41 status unpacked patch:amd64 2.7.5-1
2018-05-11 10:18:41 install xz-utils:amd64 <none> 5.1.1alpha+20120614-2+b3
2018-05-11 10:18:41 status half-installed xz-utils:amd64 5.1.1alpha+20120614-2+b3
2018-05-11 10:18:41 status unpacked xz-utils:amd64 5.1.1alpha+20120614-2+b3
2018-05-11 10:18:41 status unpacked xz-utils:amd64 5.1.1alpha+20120614-2+b3
2018-05-11 10:18:41 install uuid-dev:amd64 <none> 2.25.2-6
2018-05-11 10:18:41 status half-installed uuid-dev:amd64 2.25.2-6
2018-05-11 10:18:41 status unpacked uuid-dev:amd64 2.25.2-6
2018-05-11 10:18:41 status unpacked uuid-dev:amd64 2.25.2-6
2018-05-11 10:18:41 install libsctp-dev:amd64 <none> 1.0.16+dfsg-2
2018-05-11 10:18:41 status half-installed libsctp-dev:amd64 1.0.16+dfsg-2
2018-05-11 10:18:41 status unpacked libsctp-dev:amd64 1.0.16+dfsg-2
2018-05-11 10:18:41 status unpacked libsctp-dev:amd64 1.0.16+dfsg-2
2018-05-11 10:18:41 install libapr1-dev:amd64 <none> 1.5.1-3
2018-05-11 10:18:41 status half-installed libapr1-dev:amd64 1.5.1-3
2018-05-11 10:18:42 status unpacked libapr1-dev:amd64 1.5.1-3
2018-05-11 10:18:42 status unpacked libapr1-dev:amd64 1.5.1-3
2018-05-11 10:18:42 install libldap2-dev:amd64 <none> 2.4.40+dfsg-1+deb8u3
2018-05-11 10:18:42 status half-installed libldap2-dev:amd64 2.4.40+dfsg-1+deb8u3
2018-05-11 10:18:42 status unpacked libldap2-dev:amd64 2.4.40+dfsg-1+deb8u3
2018-05-11 10:18:42 status unpacked libldap2-dev:amd64 2.4.40+dfsg-1+deb8u3
2018-05-11 10:18:42 install libexpat1-dev:amd64 <none> 2.1.0-6+deb8u4
2018-05-11 10:18:42 status half-installed libexpat1-dev:amd64 2.1.0-6+deb8u4
2018-05-11 10:18:42 status unpacked libexpat1-dev:amd64 2.1.0-6+deb8u4
2018-05-11 10:18:42 status unpacked libexpat1-dev:amd64 2.1.0-6+deb8u4
2018-05-11 10:18:42 install libaprutil1-dev:amd64 <none> 1.5.4-1
2018-05-11 10:18:42 status half-installed libaprutil1-dev:amd64 1.5.4-1
2018-05-11 10:18:42 status unpacked libaprutil1-dev:amd64 1.5.4-1
2018-05-11 10:18:42 status unpacked libaprutil1-dev:amd64 1.5.4-1
2018-05-11 10:18:42 install libtimedate-perl:all <none> 2.3000-2
2018-05-11 10:18:42 status half-installed libtimedate-perl:all 2.3000-2
2018-05-11 10:18:42 status unpacked libtimedate-perl:all 2.3000-2
2018-05-11 10:18:42 status unpacked libtimedate-perl:all 2.3000-2
2018-05-11 10:18:42 install libdpkg-perl:all <none> 1.17.27
2018-05-11 10:18:42 status half-installed libdpkg-perl:all 1.17.27
2018-05-11 10:18:42 status unpacked libdpkg-perl:all 1.17.27
2018-05-11 10:18:42 status unpacked libdpkg-perl:all 1.17.27
2018-05-11 10:18:42 install dpkg-dev:all <none> 1.17.27
2018-05-11 10:18:42 status half-installed dpkg-dev:all 1.17.27
2018-05-11 10:18:42 status unpacked dpkg-dev:all 1.17.27
2018-05-11 10:18:42 status unpacked dpkg-dev:all 1.17.27
2018-05-11 10:18:42 install gettext:amd64 <none> 0.19.3-2
2018-05-11 10:18:42 status half-installed gettext:amd64 0.19.3-2
2018-05-11 10:18:42 status unpacked gettext:amd64 0.19.3-2
2018-05-11 10:18:42 status unpacked gettext:amd64 0.19.3-2
